Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,89.372400,-153.619200,0.000000,top
C2,10µF,C_0805_2012Metric,125.456600,-117.777800,-90.000000,top
C3,10µF,C_0805_2012Metric,127.742600,-117.777800,-90.000000,top
C4,10nF,C_0805_2012Metric,117.365100,-112.029300,-90.000000,top
C5,100µF,C_Elec_5x5.4,98.840100,-119.829300,180.000000,top
C6,10uF,C_0805_2012Metric,101.859100,-115.096800,-90.000000,top
C7,10uF,C_0805_2012Metric,95.709100,-115.079900,-90.000000,top
C8,22uF,C_0603_1608Metric,87.450000,-146.175000,180.000000,top
C9,100nF,C_0603_1608Metric,84.425000,-146.175000,180.000000,top
C10,1uF,C_0805_2012Metric,133.829000,-146.002200,0.000000,top
C11,100nF,C_0603_1608Metric,134.050000,-147.800000,0.000000,top
C12,10uF,C_0805_2012Metric,151.190100,-125.229300,180.000000,top
C13,10uF,C_0805_2012Metric,145.590100,-127.229300,180.000000,top
C14,10uF,C_0805_2012Metric,151.190100,-127.229300,180.000000,top
C15,10uF,C_0805_2012Metric,145.590100,-125.229300,180.000000,top
C16,1uF,C_0603_1608Metric,140.960100,-127.919300,90.000000,top
C17,100nF,C_0603_1608Metric,156.140100,-128.464300,90.000000,top
C18,100nF,C_0603_1608Metric,154.600100,-128.449300,90.000000,top
C19,1uF,C_0603_1608Metric,140.960100,-130.959300,90.000000,top
C20,1uF,C_0805_2012Metric,157.930100,-128.269300,90.000000,top
C21,1uF,C_0603_1608Metric,157.055100,-130.729300,0.000000,top
C22,1uF,C_0603_1608Metric,157.015100,-132.419300,0.000000,top
C23,1uF,C_0603_1608Metric,157.000100,-133.939300,180.000000,top
C24,1uF,C_0603_1608Metric,156.990100,-135.459300,0.000000,top
C25,1uF,C_0805_2012Metric,157.680100,-138.099300,-90.000000,top
C26,1uF,C_0603_1608Metric,155.940100,-137.914300,90.000000,top
C27,100nF,C_0603_1608Metric,155.905200,-140.944600,90.000000,top
C28,1uF,C_0805_2012Metric,145.590100,-145.639300,180.000000,top
C29,100nF,C_0603_1608Metric,148.400100,-125.959300,90.000000,top
C30,1uF,C_0805_2012Metric,145.590100,-123.189300,180.000000,top
C31,10uF,C_0805_2012Metric,151.190100,-141.679300,180.000000,top
C32,10uF,C_0805_2012Metric,145.590100,-143.629300,180.000000,top
C33,100nF,C_0603_1608Metric,148.430100,-142.889300,-90.000000,top
C34,10uF,C_0805_2012Metric,151.190100,-143.679300,180.000000,top
C35,10uF,C_0805_2012Metric,145.590100,-141.579300,180.000000,top
C36,150uF,CP_Elec_8x10,135.760480,-129.087290,90.000000,top
C37,150uF,CP_Elec_8x10,126.915100,-129.054300,90.000000,top
C38,150uF,CP_Elec_8x10,135.760480,-139.644790,270.000000,top
C39,150uF,CP_Elec_8x10,126.890100,-139.654300,270.000000,top
C40,1nF,C_0603_1608Metric,146.435100,-158.289300,180.000000,top
C41,1nF,C_0603_1608Metric,146.440100,-152.049300,180.000000,top
C42,1nF,C_0603_1608Metric,146.485100,-110.959300,180.000000,top
C43,1nF,C_0603_1608Metric,146.485100,-117.219300,180.000000,top
C44,22nF,C_0603_1608Metric,118.015100,-129.504300,90.000000,top
C45,22nF,C_0603_1608Metric,117.965100,-139.279300,-90.000000,top
D1,STATUS,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,89.600000,-149.750000,0.000000,top
D2,5V TVS,D_SOD-323,105.115100,-120.579300,0.000000,top
D3,SS24FL,D_SOD-123F,122.115100,-112.029300,180.000000,top
D4,Prot.ADC,D_SOD-323,109.234200,-151.206200,0.000000,top
D5,16V,D_SOD-323,126.450000,-155.875000,-90.000000,top
D6,16V,D_SOD-323,128.450000,-155.875000,-90.000000,top
D7,27V,D_SOD-523,131.750000,-148.575000,90.000000,top
FB1,~,C_1206_3216Metric,145.615100,-153.979300,0.000000,top
FB2,Ferrite_Bead,C_1206_3216Metric,145.660100,-115.279300,0.000000,top
FB3,~,C_1206_3216Metric,145.610100,-156.339300,0.000000,top
FB4,Ferrite_Bead,C_1206_3216Metric,145.660100,-112.904300,0.000000,top
G***,LOGO,LOGO,99.568000,-134.620000,90.000000,top
J1,STEMMA QT,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,94.996000,-157.988000,0.000000,top
J2,JTAG_EXTRA,IDC-Header_2x06_P2.54mm_Vertical,110.187600,-128.004300,0.000000,top
J3,Programmer,PinHeader_1x06_P2.54mm_Vertical,88.290100,-110.979300,90.000000,top
J4,Alt.DC,JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal,117.270100,-151.954300,0.000000,top
J5,DC IN,BarrelJack_CUI_PJ-063AH_Horizontal,119.260100,-148.789300,0.000000,top
J6,~,Phoenix1989447,154.840100,-155.129300,90.000000,top
J7,Screw Term.,Phoenix1989447,154.890100,-114.329300,-90.000000,top
L1,47µH,L_10.4x10.4_H4.8,108.968100,-113.743300,-90.000000,top
L2,MA_Ferrite,MA_Ferrite,119.840100,-134.379300,90.000000,top
Q1,VBA4658,SO-8_3.9x4.9mm_P1.27mm,128.219200,-150.493100,90.000000,top
Q2,Q_PMOS_GSD,SOT-23,132.937500,-151.625000,180.000000,top
R1,4.7K,R_0603_1608Metric,95.199200,-151.206200,90.000000,top
R2,4.7K,R_0603_1608Metric,96.723200,-151.206200,90.000000,top
R3,800R,R_0603_1608Metric,84.390900,-148.675000,180.000000,top
R4,800R,R_0603_1608Metric,84.390000,-150.198300,180.000000,top
R5,2KΩ,R_0603_1608Metric,84.400000,-151.725000,180.000000,top
R6,10K,R_0603_1608Metric,84.400000,-153.275000,180.000000,top
R7,10K,R_0603_1608Metric,98.247200,-151.194000,90.000000,top
R8,2K,R_0603_1608Metric,99.771200,-151.194000,90.000000,top
R9,4.7K,R_0603_1608Metric,101.299400,-151.206200,-90.000000,top
R10,4.7K,R_0603_1608Metric,106.324400,-151.206200,-90.000000,top
R11,3.2K,R_0603_1608Metric,115.265100,-116.829300,90.000000,top
R12,10KΩ,R_0603_1608Metric,100.507800,-154.762200,0.000000,top
R13,10K,R_0603_1608Metric,115.265100,-113.779300,90.000000,top
R14,650K,R_0603_1608Metric,108.709200,-149.456200,180.000000,top
R15,100K,R_0603_1608Metric,108.709200,-152.956200,0.000000,top
R16,10K,R_0603_1608Metric,91.940100,-122.779300,180.000000,top
R17,10K,R_0603_1608Metric,88.915100,-122.779300,180.000000,top
R18,10KΩ,R_0603_1608Metric,81.400000,-146.175000,0.000000,top
R19,97.6k,R_0603_1608Metric,133.400000,-154.125000,0.000000,top
R20,10K,R_0603_1608Metric,133.400000,-155.650000,0.000000,top
R21,100K,R_0603_1608Metric,127.275000,-158.825000,180.000000,top
R22,2K,R_0603_1608Metric,130.325000,-158.825000,180.000000,top
R23,3.2K,R_0603_1608Metric,131.100000,-155.750000,-90.000000,top
R24,2K,R_0603_1608Metric,130.325000,-160.350000,180.000000,top
R25,100K,R_0603_1608Metric,135.650000,-150.900000,-90.000000,top
R26,100KΩ,R_0603_1608Metric,141.630100,-124.339300,0.000000,top
SW1,EG120A,SLIDE-SWITCH,99.820400,-159.512800,0.000000,top
U1,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,120.122600,-116.761800,0.000000,top
U2,ZD24C08AE1,SOT-23-5,103.813400,-151.785200,90.000000,top
U3,XC6220B331MR,SOT-23-5,98.790100,-115.079300,0.000000,top
U4,ESP32-WROVER,ESP32-WROVER,80.320100,-134.410550,0.000000,top
U5,TL431DBZ,SOT-23,133.825000,-158.150000,180.000000,top
U6,~,QFN-64-1EP_9x9mm_P0.5mm_EP5.45x5.45mm_ThermalVias,147.921350,-134.410550,180.000000,top
