Designator,Mid X,Mid Y,Rotation,Layer
C1,89.3724,-153.6192,0.0,top
C10,133.829,-146.0022,0.0,top
C11,134.05,-147.8,0.0,top
C12,151.1901,-125.2293,180.0,top
C13,145.5901,-127.2293,180.0,top
C14,151.1901,-127.2293,180.0,top
C15,145.5901,-125.2293,180.0,top
C16,140.9601,-127.9193,90.0,top
C17,156.1401,-128.4643,90.0,top
C18,154.6001,-128.4493,90.0,top
C19,140.9601,-130.9593,90.0,top
C2,125.4566,-117.7778,-90.0,top
C20,157.9301,-128.2693,90.0,top
C21,157.0551,-130.7293,0.0,top
C22,157.0151,-132.4193,0.0,top
C23,157.0001,-133.9393,180.0,top
C24,156.9901,-135.4593,0.0,top
C25,157.6801,-138.0993,-90.0,top
C26,155.9401,-137.9143,90.0,top
C27,155.9052,-140.9446,90.0,top
C28,145.5901,-145.6393,180.0,top
C29,148.4001,-125.9593,90.0,top
C3,127.7426,-117.7778,-90.0,top
C30,145.5901,-123.1893,180.0,top
C31,151.1901,-141.6793,180.0,top
C32,145.5901,-143.6293,180.0,top
C33,148.4301,-142.8893,-90.0,top
C34,151.1901,-143.6793,180.0,top
C35,145.5901,-141.5793,180.0,top
C36,135.76048,-129.08729,-90.0,top
C37,126.9151,-129.0543,-90.0,top
C38,135.76048,-139.64479,90.0,top
C39,126.8901,-139.6543,90.0,top
C4,117.3651,-112.0293,-90.0,top
C40,146.4351,-158.2893,180.0,top
C41,146.4401,-152.0493,180.0,top
C42,146.4851,-110.9593,180.0,top
C43,146.4851,-117.2193,180.0,top
C44,118.0151,-129.5043,90.0,top
C45,117.9651,-139.2793,-90.0,top
C5,98.8401,-119.8293,180.0,top
C6,101.8591,-115.0968,-90.0,top
C7,95.7091,-115.0799,-90.0,top
C8,87.45,-146.175,180.0,top
C9,84.425,-146.175,180.0,top
D1,89.6,-149.75,0.0,top
D2,105.1151,-120.5793,0.0,top
D3,122.1151,-112.0293,180.0,top
D4,109.2342,-151.2062,0.0,top
D5,126.45,-155.875,-90.0,top
D6,128.45,-155.875,-90.0,top
D7,131.75,-148.575,90.0,top
FB1,145.6151,-153.9793,0.0,top
FB2,145.6601,-115.2793,0.0,top
FB3,145.6101,-156.3393,0.0,top
FB4,145.6601,-112.9043,0.0,top
J1,94.996,-157.988,0.0,top
J2,110.1876,-128.0043,0.0,top
J3,88.2901,-110.9793,90.0,top
J4,117.2701,-151.9543,0.0,top
J5,119.2601,-148.7893,0.0,top
J6,154.8401,-155.1293,90.0,top
J7,154.8901,-114.3293,-90.0,top
L1,108.9681,-113.7433,-90.0,top
L2,119.8401,-134.3793,90.0,top
Q1,128.2192,-150.4931,90.0,top
Q2,132.9375,-151.625,0.0,top
R1,95.1992,-151.2062,90.0,top
R10,106.3244,-151.2062,-90.0,top
R11,115.2651,-116.8293,90.0,top
R12,100.5078,-154.7622,0.0,top
R13,115.2651,-113.7793,90.0,top
R14,108.7092,-149.4562,180.0,top
R15,108.7092,-152.9562,0.0,top
R16,91.9401,-122.7793,180.0,top
R17,88.9151,-122.7793,180.0,top
R18,81.4,-146.175,0.0,top
R19,133.4,-154.125,0.0,top
R2,96.7232,-151.2062,90.0,top
R20,133.4,-155.65,0.0,top
R21,127.275,-158.825,180.0,top
R22,130.325,-158.825,180.0,top
R23,131.1,-155.75,-90.0,top
R24,130.325,-160.35,180.0,top
R25,135.65,-150.9,-90.0,top
R26,141.6301,-124.3393,0.0,top
R3,84.3909,-148.675,180.0,top
R4,84.39,-150.1983,180.0,top
R5,84.4,-151.725,180.0,top
R6,84.4,-153.275,180.0,top
R7,98.2472,-151.194,90.0,top
R8,99.7712,-151.194,90.0,top
R9,101.2994,-151.2062,-90.0,top
SW1,99.8204,-159.5128,0.0,top
U1,120.1226,-116.7618,0.0,top
U2,103.8134,-151.7852,-90.0,top
U3,98.7901,-115.0793,180.0,top
U4,80.3201,-134.41055,90.0,top
U5,133.825,-158.15,0.0,top
U6,147.92135,-134.41055,-90.0,top
